domain,country_code,country_name,isp,asn,exit_node_isp,geodb_asn,geodb_as_name,asn_match,ech_grease,go_error,curl_exit_code,curl_error_name,curl_error_message,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status,http_connect_status
cloudflare-ech.com,AF,Afghanistan,afghan wireless,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",79,80,0,0,129,0,525
cloudflare-ech.com,AF,Afghanistan,telecom development company afghanistan,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",80,81,0,0,131,0,525
cloudflare-ech.com,AF,Afghanistan,multacom corporation,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",78,80,0,0,130,0,525
cloudflare-ech.com,AF,Afghanistan,mtn afghanistan,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",78,80,0,0,131,0,525
cloudflare-ech.com,AF,Afghanistan,multacom corporation,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",79,81,0,0,132,0,525
cloudflare-ech.com,AF,Afghanistan,afghan telecom,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",78,80,0,0,131,0,525
cloudflare-ech.com,AF,Afghanistan,telecom development company afghanistan,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",76,78,0,0,131,0,525
cloudflare-ech.com,AF,Afghanistan,afghan telecom,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",80,81,0,0,134,0,525
cloudflare-ech.com,AF,Afghanistan,mtn afghanistan,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",80,82,0,0,135,0,525
cloudflare-ech.com,AF,Afghanistan,afghan wireless,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",80,81,0,0,135,0,525
cloudflare-ech.com,AL,Albania,mobitel sh.p.k.,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,54,0,525
cloudflare-ech.com,AL,Albania,mobitel sh.p.k.,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,56,0,525
cloudflare-ech.com,AL,Albania,one albania,50616,one albania,50616,ONE ALBANIA SH.A.,true,true,,0,,,0,2,517,784,785,301,200
cloudflare-ech.com,AL,Albania,vodafone albania,50973,vodafone albania,50973,Vodafone Albania Sh.A.,true,false,,0,,,0,2,591,896,897,301,200
cloudflare-ech.com,AL,Albania,one albania,50616,one albania,50616,ONE ALBANIA SH.A.,true,false,,0,,,0,2,486,781,781,301,200
cloudflare-ech.com,AL,Albania,vodafone albania,50973,vodafone albania,50973,Vodafone Albania Sh.A.,true,true,,0,,,0,2,485,761,761,301,200
