domain,country_code,country_name,isp,asn,exit_node_isp,geodb_asn,geodb_as_name,asn_match,ech_grease,go_error,curl_exit_code,curl_error_name,curl_error_message,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status,http_connect_status
www.cloudflare.com,AF,Afghanistan,multacom corporation,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",40,41,0,0,90,0,525
www.cloudflare.com,AF,Afghanistan,telecom development company afghanistan,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",42,44,0,0,94,0,525
www.cloudflare.com,AF,Afghanistan,afghan wireless,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",61,62,0,0,113,0,525
www.cloudflare.com,AF,Afghanistan,afghan wireless,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",41,43,0,0,94,0,525
www.cloudflare.com,AF,Afghanistan,mtn afghanistan,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",37,38,0,0,91,0,525
www.cloudflare.com,AF,Afghanistan,afghan telecom,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",59,61,0,0,114,0,525
www.cloudflare.com,AF,Afghanistan,mtn afghanistan,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",56,57,0,0,111,0,525
www.cloudflare.com,AF,Afghanistan,telecom development company afghanistan,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",40,41,0,0,96,0,525
www.cloudflare.com,AF,Afghanistan,afghan telecom,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",1,2,0,0,57,0,525
www.cloudflare.com,AF,Afghanistan,multacom corporation,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,47,0,525
www.cloudflare.com,AL,Albania,mobitel sh.p.k.,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,53,0,525
www.cloudflare.com,AL,Albania,mobitel sh.p.k.,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,65,0,525
www.cloudflare.com,AL,Albania,vodafone albania,50973,vodafone albania,50973,Vodafone Albania Sh.A.,true,true,,0,,,0,2,496,1470,1470,200,200
www.cloudflare.com,AL,Albania,vodafone albania,50973,vodafone albania,50973,Vodafone Albania Sh.A.,true,false,,0,,,1,2,472,1619,1694,200,200
www.cloudflare.com,DZ,Algeria,optimum-telecom-algeria,327931,optimum-telecom-algeria,327931,Optimum Telecom Algeria,true,false,,0,,,0,2,830,1865,1865,200,200
www.cloudflare.com,AF,Afghanistan,etisalat afghanistan,131284,etisalat afghanistan,131284,Etisalat Afghan,true,true,,0,,,0,2,1288,2523,2523,200,200
www.cloudflare.com,DZ,Algeria,optimum-telecom-algeria,327931,optimum-telecom-algeria,327931,Optimum Telecom Algeria,true,true,,0,,,0,2,765,1655,1674,200,200
www.cloudflare.com,AL,Albania,one albania,50616,one albania,50616,ONE ALBANIA SH.A.,true,false,,0,,,0,2,1146,2517,2517,200,200
www.cloudflare.com,AF,Afghanistan,etisalat afghanistan,131284,etisalat afghanistan,131284,Etisalat Afghan,true,false,,0,,,0,2,1322,2203,2342,200,200
www.cloudflare.com,AG,Antigua and Barbuda,digicel,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,54,0,525
www.cloudflare.com,AG,Antigua and Barbuda,digicel,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,55,0,525
www.cloudflare.com,AL,Albania,one albania,50616,one albania,50616,ONE ALBANIA SH.A.,true,true,,0,,,0,2,1068,2040,2041,200,200
www.cloudflare.com,DZ,Algeria,algerie telecom,36947,algerie telecom,36947,Telecom Algeria,true,false,,0,,,0,202,785,2966,2966,200,200
www.cloudflare.com,DZ,Algeria,algerie telecom,36947,algerie telecom,36947,Telecom Algeria,true,true,,0,,,0,2,2693,3636,3637,200,200
www.cloudflare.com,DZ,Algeria,wataniya-telecom,33779,wataniya-telecom,33779,Wataniya Telecom Algerie,true,false,,0,,,60,62,1367,2187,2286,200,200
www.cloudflare.com,AF,Afghanistan,afghan wireless communication company,138322,afghan wireless communication company,138322,Afghan Wireless Communication Company,true,false,,0,,,0,2,2517,5178,5178,200,200
www.cloudflare.com,AG,Antigua and Barbuda,apua,11594,apua,11594,APUA,true,false,,0,,,0,2,819,1396,1397,200,200
www.cloudflare.com,AG,Antigua and Barbuda,flow,14813,flow,14813,Columbus Telecommunications (Barbados) Limited,true,false,,0,,,0,2,723,1518,1519,200,200
www.cloudflare.com,DZ,Algeria,wataniya-telecom,33779,wataniya-telecom,33779,Wataniya Telecom Algerie,true,true,,0,,,0,2,2345,3359,3394,200,200
www.cloudflare.com,AG,Antigua and Barbuda,flow,14813,flow,14813,Columbus Telecommunications (Barbados) Limited,true,true,,0,,,0,2,823,1373,1493,200,200
www.cloudflare.com,DZ,Algeria,atm,327712,atm,327712,Telecom Algeria,true,false,,0,,,0,2,6002,6937,6937,200,200
www.cloudflare.com,DZ,Algeria,atm,327712,atm,327712,Telecom Algeria,true,true,,0,,,0,2,5555,6566,6567,200,200
www.cloudflare.com,AG,Antigua and Barbuda,apua,11594,apua,11594,APUA,true,true,,0,,,0,2,674,2342,2342,200,200
www.cloudflare.com,AM,Armenia,telecom armenia ojsc,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",73,74,0,0,128,0,525
www.cloudflare.com,AM,Armenia,telecom armenia ojsc,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,53,0,525
www.cloudflare.com,AF,Afghanistan,afghan wireless communication company,138322,afghan wireless communication company,138322,Afghan Wireless Communication Company,true,true,,0,,,0,2,4109,6450,6451,200,200
www.cloudflare.com,AO,Angola,aas1,328943,aas1,328943,Africell Angola S.A,true,true,,0,,,0,2,1374,5855,5855,200,200
www.cloudflare.com,AW,Aruba,new millennium telecom services n.v.,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,51,0,525
www.cloudflare.com,AR,Argentina,claro argentina,11664,claro argentina,11664,Techtel LMDS Comunicaciones Interactivas S.A.,true,false,,0,,,0,2,856,1737,1737,200,200
www.cloudflare.com,AW,Aruba,new millennium telecom services n.v.,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,51,0,525
www.cloudflare.com,AO,Angola,unitel,37119,unitel,37119,UNITEL SA,true,true,,0,,,0,2,793,4180,4365,200,200
www.cloudflare.com,AM,Armenia,ucom,44395,ucom,44395,Ucom CJSC,true,false,,0,,,0,2,670,1475,1475,200,200
www.cloudflare.com,AO,Angola,aas1,328943,aas1,328943,Africell Angola S.A,true,false,,0,,,0,3,1284,5617,5617,200,200
www.cloudflare.com,AO,Angola,unitel,37119,unitel,37119,UNITEL SA,true,false,,0,,,0,2,1072,5613,5614,200,200
www.cloudflare.com,AR,Argentina,personal,7303,personal,7303,Telecom Argentina S.A.,true,false,,0,,,0,2,1142,2871,2871,200,200
www.cloudflare.com,AR,Argentina,claro argentina,11664,claro argentina,11664,Techtel LMDS Comunicaciones Interactivas S.A.,true,true,,0,,,0,2,893,1811,1811,200,200
www.cloudflare.com,AM,Armenia,viva armenia cjsc,43733,viva armenia cjsc,43733,Viva Armenia CJSC,true,false,,0,,,0,202,997,1767,1768,200,200
www.cloudflare.com,AM,Armenia,viva armenia cjsc,43733,viva armenia cjsc,43733,Viva Armenia CJSC,true,true,,0,,,0,2,721,1413,1414,200,200
www.cloudflare.com,AW,Aruba,setar aruba,11816,setar aruba,11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.,true,true,,0,,,0,2,639,1346,1347,200,200
www.cloudflare.com,AM,Armenia,ucom,44395,ucom,44395,Ucom CJSC,true,true,,0,,,0,2,995,1823,1824,200,200
www.cloudflare.com,AW,Aruba,setar aruba,11816,setar aruba,11816,SERVICIO DI TELECOMUNICACION DI ARUBA (SETAR) N.V.,true,false,,0,,,0,2,687,1185,1294,200,200
www.cloudflare.com,AR,Argentina,personal,7303,personal,7303,Telecom Argentina S.A.,true,true,,0,,,0,2,1490,3046,3047,200,200
www.cloudflare.com,AT,Austria,hutchison drei austria gmbh,25255,hutchison drei austria gmbh,25255,Hutchison Drei Austria GmbH,true,true,,0,,,0,2,390,723,724,200,200
www.cloudflare.com,AT,Austria,magenta telekom,8412,magenta telekom,8412,T-Mobile Austria GmbH,true,false,,0,,,0,2,418,784,785,200,200
www.cloudflare.com,AT,Austria,hutchison drei austria gmbh,25255,hutchison drei austria gmbh,25255,Hutchison Drei Austria GmbH,true,false,,0,,,0,2,336,978,979,200,200
www.cloudflare.com,AZ,Azerbaijan,bakcell,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,65,0,525
www.cloudflare.com,AT,Austria,telekom austria,8447,telekom austria,8447,A1 Telekom Austria AG,true,true,,0,,,0,2,412,749,750,200,200
www.cloudflare.com,AT,Austria,magenta telekom,8412,magenta telekom,8412,T-Mobile Austria GmbH,true,true,,0,,,0,2,423,1151,1198,200,200
www.cloudflare.com,AT,Austria,telekom austria,8447,telekom austria,8447,A1 Telekom Austria AG,true,false,,0,,,0,2,337,746,746,200,200
www.cloudflare.com,AU,Australia,vodafone australia,133612,vodafone australia,133612,Vodafone Australia Pty Ltd,true,false,,0,,,0,1,906,1754,1754,200,200
www.cloudflare.com,AZ,Azerbaijan,bakcell,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",79,81,0,0,139,0,525
www.cloudflare.com,AZ,Azerbaijan,nar,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",50,51,0,0,110,0,525
www.cloudflare.com,AZ,Azerbaijan,nar,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",42,43,0,0,103,0,525
www.cloudflare.com,AU,Australia,telstra internet,1221,telstra internet,1221,Telstra Limited,true,false,,0,,,0,1,1078,2016,2075,200,200
www.cloudflare.com,AT,Austria,mass response service,51265,mass response service,51265,Mass Response Service GmbH,true,false,,0,,,0,2,445,967,977,200,200
www.cloudflare.com,AT,Austria,mass response service,51265,mass response service,51265,Mass Response Service GmbH,true,true,,0,,,0,2,513,989,989,200,200
www.cloudflare.com,BS,Bahamas,alivfibr,15146,alivfibr,15146,Cable Bahamas,true,false,,0,,,0,2,222,567,567,200,200
www.cloudflare.com,AU,Australia,vodafone australia,133612,vodafone australia,133612,Vodafone Australia Pty Ltd,true,true,,0,,,0,2,851,2052,2052,200,200
www.cloudflare.com,AU,Australia,telstra internet,1221,telstra internet,1221,Telstra Limited,true,true,,0,,,0,2,1139,2253,2253,200,200
www.cloudflare.com,BH,Bahrain,zain bahrain b.s.c.,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,59,0,525
www.cloudflare.com,AZ,Azerbaijan,azercell telecom,31721,azercell telecom,31721,"""Azercell Telecom Ltd"" Azerbaijan-Turkey Joint Venture",true,false,,0,,,0,2,442,1187,1187,200,200
www.cloudflare.com,BH,Bahrain,zain bahrain b.s.c.,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,61,0,525
www.cloudflare.com,AU,Australia,optus,4804,optus,4804,SingTel Optus Pty Ltd,true,false,,0,,,0,2,1030,2520,2521,200,200
www.cloudflare.com,BS,Bahamas,alivfibr,15146,alivfibr,15146,Cable Bahamas,true,true,,0,,,0,2,194,618,618,200,200
www.cloudflare.com,AZ,Azerbaijan,azercell telecom,31721,azercell telecom,31721,"""Azercell Telecom Ltd"" Azerbaijan-Turkey Joint Venture",true,true,,0,,,0,2,447,1114,1115,200,200
www.cloudflare.com,BS,Bahamas,bealiv ltd,15146,bealiv ltd,15146,Cable Bahamas,true,false,,0,,,0,2,457,940,941,200,200
www.cloudflare.com,BD,Bangladesh,banglalink,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,54,0,525
www.cloudflare.com,BS,Bahamas,bahamas telecommunications corporation,8014,bahamas telecommunications corporation,8014,Bahamas Telecommunications Corporation,true,true,,0,,,0,2,509,878,878,200,200
www.cloudflare.com,BS,Bahamas,bealiv ltd,15146,bealiv ltd,15146,Cable Bahamas,true,true,,0,,,0,2,431,828,829,200,200
www.cloudflare.com,BS,Bahamas,bahamas telecommunications corporation,8014,bahamas telecommunications corporation,8014,Bahamas Telecommunications Corporation,true,false,,0,,,1,204,795,1335,1335,200,200
www.cloudflare.com,BD,Bangladesh,banglalink,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,53,0,525
www.cloudflare.com,BD,Bangladesh,telenor,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,1,0,0,72,0,525
www.cloudflare.com,BD,Bangladesh,banglalink digital communications ltd.,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,1,0,0,55,0,525
www.cloudflare.com,BD,Bangladesh,telenor,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,54,0,525
www.cloudflare.com,BD,Bangladesh,teletalk bangladesh,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,55,0,525
www.cloudflare.com,BD,Bangladesh,banglalink digital communications ltd.,,,,,,false,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,55,0,525
www.cloudflare.com,BD,Bangladesh,teletalk bangladesh,,,,,,true,,56,CURLE_RECV_ERROR,"CONNECT tunnel failed, response 525",0,2,0,0,53,0,525
www.cloudflare.com,AU,Australia,optus,4804,optus,4804,SingTel Optus Pty Ltd,true,true,,0,,,0,2,1244,2578,2690,200,200
www.cloudflare.com,BH,Bahrain,batelco,5416,batelco,5416,BEYON B.S.C.,true,false,,0,,,0,2,520,1088,1185,200,200
