domain,country_code,country_name,isp,asn,exit_node_ip,exit_node_isp,discovered_ip,ip_match,geodb_asn,geodb_as_name,asn_match,ech_grease,error,curl_exit_code,curl_error_name,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status
www.google.com,AF,Afghanistan,multacom corporation,,,,,,,,,true,,56,CURLE_RECV_ERROR,0,77,0,0,127,0
www.google.com,AF,Afghanistan,mtn afghanistan,,,,,,,,,true,,56,CURLE_RECV_ERROR,0,73,0,0,126,0
www.google.com,AF,Afghanistan,afghan wireless,,,,,,,,,true,,56,CURLE_RECV_ERROR,0,75,0,0,127,0
www.google.com,AF,Afghanistan,mtn afghanistan,,,,,,,,,false,,56,CURLE_RECV_ERROR,0,66,0,0,120,0
www.google.com,AF,Afghanistan,multacom corporation,,,,,,,,,false,,56,CURLE_RECV_ERROR,0,70,0,0,124,0
www.google.com,AF,Afghanistan,telecom development company afghanistan,,,,,,,,,true,,56,CURLE_RECV_ERROR,0,77,0,0,132,0
www.google.com,AF,Afghanistan,afghan wireless,,,,,,,,,false,,56,CURLE_RECV_ERROR,0,75,0,0,130,0
www.google.com,AF,Afghanistan,telecom development company afghanistan,,,,,,,,,false,,56,CURLE_RECV_ERROR,0,75,0,0,152,0
www.google.com,AX,Åland Islands,alands telekommunikation,,,,,,,,,true,,56,CURLE_RECV_ERROR,0,2,0,0,55,0
www.google.com,AX,Åland Islands,alands telekommunikation,,,,,,,,,false,,56,CURLE_RECV_ERROR,0,2,0,0,122,0
www.google.com,AL,Albania,mobitel sh.p.k.,60471,185.30.145.170,mobitel sh.p.k.,185.30.145.170,true,60471,Mobitel sh.p.k.,true,true,,0,,0,2,437,705,706,200
www.google.com,AL,Albania,mobitel sh.p.k.,60471,185.30.145.170,mobitel sh.p.k.,185.30.145.170,true,60471,Mobitel sh.p.k.,true,false,,0,,0,2,480,729,729,200
www.google.com,AL,Albania,one albania,50616,185.156.14.59,one albania,185.156.14.59,true,50616,ONE ALBANIA SH.A.,true,true,,0,,0,2,517,1149,1149,200
www.google.com,DZ,Algeria,optimum-telecom-algeria,327931,41.200.8.165,optimum-telecom-algeria,41.200.8.165,true,327931,Optimum Telecom Algeria,true,false,,0,,0,2,512,1013,1013,200
www.google.com,AL,Albania,vodafone albania,50973,188.172.108.129,vodafone albania,188.172.108.129,true,50973,Vodafone Albania Sh.A.,true,true,,0,,0,2,759,1345,1345,200
www.google.com,AL,Albania,one albania,50616,185.156.14.59,one albania,185.156.14.59,true,50616,ONE ALBANIA SH.A.,true,false,,0,,0,2,533,1169,1170,200
www.google.com,AL,Albania,vodafone albania,50973,188.172.108.129,vodafone albania,188.172.108.129,true,50973,Vodafone Albania Sh.A.,true,false,,0,,0,2,831,1472,1472,200
www.google.com,AF,Afghanistan,afghan wireless communication company,138322,152.36.193.223,afghan wireless communication company,152.36.193.223,true,138322,Afghan Wireless Communication Company,true,false,,0,,0,2,1105,2026,2026,200
www.google.com,DZ,Algeria,algerie telecom,36947,154.243.66.10,algerie telecom,154.243.66.10,true,36947,Telecom Algeria,true,true,,0,,0,2,529,1006,1006,200
www.google.com,DZ,Algeria,wataniya-telecom,33779,105.235.131.209,wataniya-telecom,105.235.131.209,true,33779,Wataniya Telecom Algerie,true,true,,0,,0,2,795,1437,1437,200
www.google.com,DZ,Algeria,optimum-telecom-algeria,327931,41.200.8.165,optimum-telecom-algeria,41.200.8.165,true,327931,Optimum Telecom Algeria,true,true,,0,,0,2,525,1057,1057,200
www.google.com,AF,Afghanistan,etisalat afghanistan,131284,203.171.122.66,etisalat afghanistan,203.171.122.66,true,131284,Etisalat Afghan,true,false,,0,,0,2,1488,2503,2503,200
