domain,country_code,country_name,isp,asn,exit_node_ip,exit_node_isp,ech_grease,error,curl_exit_code,curl_error_name,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status
www.google.com,AF,Afghanistan,etisalat afghanistan,,,,false,,56,CURLE_RECV_ERROR,73,75,0,0,162,0
www.google.com,AF,Afghanistan,multacom corporation,,,,false,,56,CURLE_RECV_ERROR,78,80,0,0,168,0
www.google.com,AF,Afghanistan,telecom development company afghanistan,,,,true,,56,CURLE_RECV_ERROR,78,83,0,0,169,0
www.google.com,AF,Afghanistan,mtn afghanistan,,,,true,,56,CURLE_RECV_ERROR,74,76,0,0,166,0
www.google.com,AF,Afghanistan,mtn afghanistan,,,,false,,56,CURLE_RECV_ERROR,76,78,0,0,169,0
www.google.com,AF,Afghanistan,etisalat afghanistan,,,,true,,56,CURLE_RECV_ERROR,76,78,0,0,169,0
www.google.com,AF,Afghanistan,multacom corporation,,,,true,,56,CURLE_RECV_ERROR,76,81,0,0,171,0
www.google.com,AF,Afghanistan,telecom development company afghanistan,,,,false,,56,CURLE_RECV_ERROR,77,79,0,0,174,0
www.google.com,AX,Åland Islands,alands telekommunikation ab,,,,false,,56,CURLE_RECV_ERROR,1,2,0,0,65,0
www.google.com,AX,Åland Islands,alands telekommunikation ab,,,,true,,56,CURLE_RECV_ERROR,1,3,0,0,66,0
www.google.com,AL,Albania,one albania,50616,109.234.233.101,one albania,false,,0,OK,2,3,715,1388,1452,200
www.google.com,DZ,Algeria,wataniya-telecom,33779,41.200.113.159,wataniya-telecom,true,,0,OK,3,5,630,1145,1315,200
www.google.com,AL,Albania,one albania,50616,109.234.233.101,one albania,true,,0,OK,1,4,1178,1850,1917,200
www.google.com,AS,American Samoa,blue sky communications,,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,61,0
www.google.com,AS,American Samoa,blue sky communications,,,,true,,56,CURLE_RECV_ERROR,1,3,0,0,63,0
www.google.com,AD,Andorra,"andorra telecom, s.a.u.",,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,63,0
www.google.com,AD,Andorra,"andorra telecom, s.a.u.",,,,true,,56,CURLE_RECV_ERROR,1,2,0,0,61,0
www.google.com,DZ,Algeria,algerie telecom,36947,197.119.179.84,algerie telecom,true,,0,OK,3,5,723,1274,2131,200
www.google.com,AL,Albania,vodafone albania,50973,188.172.111.176,vodafone albania,false,,0,OK,1,3,1785,2500,2549,200
www.google.com,AL,Albania,vodafone albania,50973,188.172.109.117,vodafone albania,true,,0,OK,1,4,1774,2503,2569,200
www.google.com,DZ,Algeria,optimum-telecom-algeria,327931,129.45.66.172,optimum-telecom-algeria,false,,0,OK,1,3,544,1042,1132,200
www.google.com,DZ,Algeria,optimum-telecom-algeria,327931,129.45.66.172,optimum-telecom-algeria,true,,0,OK,2,4,1807,2329,2410,200
www.google.com,DZ,Algeria,atm,327712,154.121.140.127,atm,false,,0,OK,1,3,600,1116,1227,200
www.google.com,DZ,Algeria,algerie telecom,36947,197.119.179.84,algerie telecom,false,,0,OK,3,4,2149,2599,2697,200
www.google.com,AF,Afghanistan,afghan wireless,38742,119.59.87.95,afghan wireless,false,,0,OK,74,77,1766,2997,3419,200
www.google.com,AG,Antigua and Barbuda,apua,11594,208.83.82.207,apua,false,,0,OK,1,2,844,1309,1702,200
www.google.com,AO,Angola,unitel,37119,105.172.90.223,unitel,true,,0,OK,2,4,1181,2004,2240,200
www.google.com,DZ,Algeria,wataniya-telecom,33779,41.200.113.159,wataniya-telecom,false,,0,OK,4,5,3453,4105,4278,200
